row 1,row 2,row 3,row 4,row 5,row 6,row 7,row 8,row 9,row 10
19.Sep.B03.09,9,9,0.1,10,0.1,37,0.1,3330,0.17
19.Sep.B03.10,10,9,0.1,10.3,0.2,37,0.1,3400,22
19.Sep.B04.01,7,9,1,10,1,37,1,3330,1316.07
19.Sep.B04.02,4,9.2,0.1,10.3,0.1,36.9,0.1,3500,50
19.Sep.B04.03,2,9,0.5,10.5,0.5,37,0.5,3500,400
19.Sep.B04.04,1,9,1,10.5,1,37,1,3497,170
19.Sep.B04.05,9,9,0.5,10,0.5,36.5,0.5,3285,249.6
19.Sep.B04.06,3,9,0.5,10.1,0.5,36.5,0.5,3300,300
19.Sep.B04.07,6,9,1,10,1,36,1,3240,490
19.Sep.B04.08,8,9,0.5,10,0.5,37,0.5,3330,19.2
19.Sep.B04.09,10,9,0.5,10,0.5,36,0.5,3240,237
19.Sep.B04.10,5,9,0.5,10,0.5,37,0.5,3330,252.9
20.Feb.B01.01,2,9,1,11,1,37,1,3663,529.6998
20.Feb.B01.02,4,9.1,0.5,10.3,0.5,36.8,0.5,3440,260
20.Feb.B01.03,6,10,0.5,10,0.5,37,0.5,3700,266
20.Feb.B01.04,3,8.95,0.01,10.025,0.0025,36.75,0.0833,3297,479.4
20.Feb.B01.05,10,9,0.5,10,0.5,37,0.5,3330,184
20.Feb.B01.06,5,9.08,0.2,10.37,0.2,37.2,0.9,3502.5,120.4
20.Feb.B01.07,9,9,0.1,10.1,0.1,37,0.1,3360,50
20.Feb.B02.01,7,9,0.2,11,0.2,37,0.2,3663,107
20.Feb.B02.02,2,9,0.5,10,0.5,37,0.5,3330,1.5
20.Feb.B02.03,8,9,0.25,10.5,0.25,37,0.25,3496.5,130
20.Feb.B02.04,6,9,0.5,10.5,0.5,37,0.5,3500,260
20.Feb.B02.05,9,9,0.5,10,0.5,37,0.5,3330,253
20.Feb.B02.06,5,9,0.1,10.5,0.2,37,0.1,3500,80
20.Feb.B02.07,3,9,0.2,10,0.2,37,0.2,3330,101.2
20.Feb.B02.08,10,9,0.5,10,0.5,37,0.5,3330,253
20.Feb.B02.09,1,9,0.5,11,0.5,37,0.5,3663,14.48
20.Feb.B02.10,4,9,0.5,10,0.5,37,0.5,3330,0
20.Feb.B02.11,1,9,0.5,10.7,0.8,36.7,0.8,3530,310
